kernels,baseline,linalg,linalg_xdsl,snitch_stream,snrt
matmul 4x28x64xf64,0.22,,0.95,,
matmul 4x28x8xf64,0.21,,0.87,,
matmul 4x32x12xf64,0.14,,0.90,,
matmul 4x32x16xf64,0.14,,0.92,,
matmul 4x32x20xf64,0.15,,0.93,,
matmul 4x32x24xf64,0.15,,0.93,,
matmul 4x32x28xf64,0.15,,0.94,,
matmul 4x32x32xf64,0.15,,0.94,,
matmul 4x32x36xf64,0.15,,0.94,,
matmul 4x32x40xf64,0.15,,0.95,,
matmul 4x32x44xf64,0.15,,0.94,,
matmul 4x32x48xf64,0.15,,0.95,,
matmul 4x32x4xf64,0.16,,0.83,,
matmul 4x32x52xf64,0.15,,0.95,,
matmul 4x32x56xf64,0.15,,0.95,,
matmul 4x32x60xf64,0.15,,0.95,,
matmul 4x32x64xf64,0.15,,0.95,,
matmul 4x32x8xf64,0.14,,0.88,,
matmul 4x36x12xf64,0.14,,0.91,,
matmul 4x36x16xf64,0.14,,0.92,,
matmul 4x36x20xf64,0.14,,0.93,,
matmul 4x36x24xf64,0.14,,0.94,,
matmul 4x36x28xf64,0.14,,0.94,,
matmul 4x36x32xf64,0.14,,0.94,,
matmul 4x36x36xf64,0.14,,0.94,,
matmul 4x36x40xf64,0.14,,0.95,,
matmul 4x36x44xf64,0.14,,0.95,,
matmul 4x36x48xf64,0.14,,0.95,,
matmul 4x36x4xf64,0.14,,0.83,,
matmul 4x36x52xf64,0.14,,0.95,,
matmul 4x36x56xf64,0.14,,0.95,,
matmul 4x36x60xf64,0.14,,0.95,,
matmul 4x36x64xf64,0.14,,0.95,,
matmul 4x36x8xf64,0.14,,0.88,,
matmul 4x40x12xf64,0.14,,0.91,,
matmul 4x40x16xf64,0.14,,0.92,,
matmul 4x40x20xf64,0.14,,0.93,,
matmul 4x40x24xf64,0.14,,0.94,,
matmul 4x40x28xf64,0.14,,0.94,,
matmul 4x40x32xf64,0.14,,0.95,,
matmul 4x40x36xf64,0.14,,0.95,,
matmul 4x40x40xf64,0.14,,0.95,,
matmul 4x40x44xf64,0.14,,0.95,,
matmul 4x40x48xf64,0.14,,0.95,,
matmul 4x40x4xf64,0.14,,0.85,,
matmul 4x40x52xf64,0.14,,0.95,,
matmul 4x40x56xf64,0.14,,0.95,,
matmul 4x40x60xf64,0.14,,0.95,,
matmul 4x40x64xf64,0.14,,0.96,,
matmul 4x40x8xf64,0.14,,0.89,,
matmul 4x44x12xf64,0.14,,0.92,,
matmul 4x44x16xf64,0.14,,0.93,,
matmul 4x44x20xf64,0.14,,0.94,,
matmul 4x44x24xf64,0.14,,0.94,,
matmul 4x44x28xf64,0.14,,0.95,,
matmul 4x44x32xf64,0.14,,0.95,,
matmul 4x44x36xf64,0.14,,0.95,,
matmul 4x44x40xf64,0.14,,0.95,,
matmul 4x44x44xf64,0.14,,0.95,,
matmul 4x44x48xf64,0.14,,0.95,,
matmul 4x44x4xf64,0.14,,0.85,,
matmul 4x44x52xf64,0.14,,0.95,,
matmul 4x44x56xf64,0.14,,0.96,,
matmul 4x44x60xf64,0.14,,0.96,,
matmul 4x44x64xf64,0.14,,0.96,,
matmul 4x44x8xf64,0.14,,0.90,,
matmul 4x48x12xf64,0.14,,0.92,,
matmul 4x48x16xf64,0.14,,0.93,,
matmul 4x48x20xf64,0.14,,0.94,,
matmul 4x48x24xf64,0.14,,0.94,,
matmul 4x48x28xf64,0.14,,0.95,,
matmul 4x48x32xf64,0.14,,0.95,,
matmul 4x48x36xf64,0.14,,0.95,,
matmul 4x48x40xf64,0.14,,0.95,,
matmul 4x48x44xf64,0.14,,0.95,,
matmul 4x48x48xf64,0.14,,0.95,,
matmul 4x48x4xf64,0.14,,0.86,,
matmul 4x48x52xf64,0.14,,0.96,,
matmul 4x48x56xf64,0.14,,0.96,,
matmul 4x48x60xf64,0.14,,0.96,,
matmul 4x48x64xf64,0.14,,0.96,,
matmul 4x48x8xf64,0.14,,0.90,,
matmul 4x4x12xf64,0.18,,0.68,,
matmul 4x4x16xf64,0.18,,0.73,,
matmul 4x4x20xf64,0.18,,0.76,,
matmul 4x4x24xf64,0.18,,0.78,,
matmul 4x4x28xf64,0.19,,0.80,,
matmul 4x4x32xf64,0.19,,0.81,,
matmul 4x4x36xf64,0.19,,0.82,,
matmul 4x4x40xf64,0.19,,0.83,,
matmul 4x4x44xf64,0.19,,0.84,,
matmul 4x4x48xf64,0.19,,0.85,,
matmul 4x4x4xf64,0.18,,0.46,,
matmul 4x4x52xf64,0.19,,0.85,,
matmul 4x4x56xf64,0.19,,0.86,,
matmul 4x4x60xf64,0.19,,0.86,,
matmul 4x4x64xf64,0.19,,0.86,,
matmul 4x4x8xf64,0.28,,0.60,,
matmul 4x52x12xf64,0.14,,0.92,,
matmul 4x52x16xf64,0.14,,0.93,,
matmul 4x52x20xf64,0.14,,0.94,,
matmul 4x52x24xf64,0.14,,0.95,,
matmul 4x52x28xf64,0.14,,0.95,,
matmul 4x52x32xf64,0.14,,0.95,,
matmul 4x52x36xf64,0.14,,0.95,,
matmul 4x52x40xf64,0.14,,0.95,,
matmul 4x52x44xf64,0.14,,0.95,,
matmul 4x52x48xf64,0.14,,0.95,,
matmul 4x52x4xf64,0.14,,0.87,,
matmul 4x52x52xf64,0.14,,0.96,,
matmul 4x52x56xf64,0.14,,0.96,,
matmul 4x52x60xf64,0.14,,0.96,,
matmul 4x52x64xf64,0.14,,0.96,,
matmul 4x52x8xf64,0.14,,0.91,,
matmul 4x56x12xf64,0.14,,0.93,,
matmul 4x56x16xf64,0.14,,0.94,,
matmul 4x56x20xf64,0.14,,0.94,,
matmul 4x56x24xf64,0.14,,0.95,,
matmul 4x56x28xf64,0.14,,0.95,,
matmul 4x56x32xf64,0.14,,0.95,,
matmul 4x56x36xf64,0.14,,0.95,,
matmul 4x56x40xf64,0.14,,0.95,,
matmul 4x56x44xf64,0.14,,0.95,,
matmul 4x56x48xf64,0.14,,0.96,,
matmul 4x56x4xf64,0.14,,0.88,,
matmul 4x56x52xf64,0.14,,0.96,,
matmul 4x56x56xf64,0.14,,0.96,,
matmul 4x56x60xf64,0.14,,0.96,,
matmul 4x56x64xf64,0.14,,0.96,,
matmul 4x56x8xf64,0.14,,0.91,,
matmul 4x60x12xf64,0.14,,0.93,,
